Lambda,avgtrain,testavg
10,6.168834283727777,12.553676941926398
20,3.5552048035641493,6.5580547586097895
30,3.3771607733503304,5.619174957576117
40,2.949775073184206,5.379542132121341
50,2.4634979433678543,5.227120669575847
60,2.562500090708454,5.0669338443233
70,2.9744196130252436,4.952129333928612
80,2.7164237772364297,4.910008658236624
90,2.828072295782085,4.982992484514182
100,2.7944445462571776,4.965173657965493
110,2.9118828706911217,4.904273033895905
120,2.7622461589318013,4.894211233874147
130,2.7558881308973464,4.923684309360267
140,2.9078202443187653,4.873687097403516
150,2.8018836146289368,4.873178833690554
160,2.7274748102328625,4.860202013953029
170,2.8110299246740666,4.841866242035511
180,2.8846004574332293,4.802471256031017
190,2.8519414608716995,4.781547051418439
200,2.7864191471034787,4.812573339047593
210,2.8009479766252747,4.802374850840208
220,2.879228550613803,4.74879649632278
230,2.828750933419623,4.741057277461732
240,2.9048609601742186,4.73402512240365
250,2.980715581802841,4.742037250201849
260,3.085366462711416,4.706864200941749
270,2.9439810031672593,4.719087785868488
280,2.879222581155936,4.743652650839435
290,2.9332762967147716,4.679960957031344
300,2.9455828158717385,4.711284268301697
310,2.9598553934865612,4.726635528601324
320,2.9199852993518696,4.714150376537333
330,3.0247472079138245,4.691570477444788
340,2.974238940955506,4.650404036037239
350,3.031796464316599,4.704983358810761
360,2.9741993600367156,4.686712006555256
370,3.038049367583682,4.659448554327467
380,2.9483160071773065,4.682417781208753
390,2.9116182699721267,4.646914413201562
400,3.0301374342305945,4.6901568940215554
410,2.9697955917237824,4.669485871572466
420,3.014339664667515,4.627717756990935
430,3.1310367585247016,4.662573759179709
440,2.9941617913058853,4.65015165576927
450,3.0621361218662715,4.643634591276792
460,3.007746933585188,4.646019491940447
470,2.9765426111434774,4.713649324834175
480,3.185353124588859,4.654585460419508
490,3.2059534742808977,4.6602869323410285
500,3.091199530537368,4.637065239343426
510,2.9919092135145458,4.618789380394692
520,3.056659154954733,4.6826353991874425
530,2.999241701128758,4.623752268768607
540,3.069372086811551,4.645179296053162
550,3.1069041747907216,4.637216360440309
560,3.035986762680399,4.623473898182931
570,3.034366638279053,4.589395362907015
580,3.0553274831900783,4.692448362399905
590,3.102232518393427,4.588492068884135
600,3.109467199907724,4.564108749036142
610,3.0256526203101473,4.546505464231829
620,3.0690364395652,4.588205708881324
630,3.1314469200510744,4.598767825830863
640,3.122063001500831,4.597817139961232
650,3.0964216678975744,4.612607768477008
660,3.102561167638535,4.599872109016526
670,3.0604095354178056,4.591723141784681
680,3.1367815086016697,4.608480402205403
690,3.176407319084837,4.5731201060065585
700,3.0407778404113084,4.6022267201961995
710,3.101377710505715,4.560684668198565
720,3.137513518245611,4.574593486310312
730,3.0956435663567827,4.554869592891349
740,3.113710024691804,4.563731024336864
750,3.1485697239701436,4.596463150420372
760,3.076208276683885,4.544499468023122
770,3.17159117925511,4.534330177895148
780,3.085207411664797,4.602074379347316
790,3.106637449131794,4.560044012506864
800,3.0890138810575154,4.563927086146606
810,3.1902571906932917,4.5252495751176145
820,3.1700411693233805,4.563334298509661
830,3.144316359709918,4.571087304767973
840,3.067848611363105,4.578624038088024
850,3.1925651326289373,4.529709411400716
860,3.194219443286833,4.560340570848849
870,3.1297537388725747,4.578816504734514
880,3.164057137617244,4.537067789841726
890,3.2321422921433287,4.523326784483762
900,3.170347308880369,4.541998472626016
910,3.1526097636839285,4.552263585162927
920,3.1457960190331002,4.530278938161728
930,3.236751109654913,4.526827058790543
940,3.1422329436025773,4.565133660140698
