Lambda,MSE,testerror
0.0,3.434919519904902,4.396097860818792
1.0,3.4353006890627027,4.388759716293593
2.0,3.4361437278698816,4.381940476618549
3.0,3.437294761979109,4.375561691069565
4.0,3.438712211466898,4.369618266201249
5.0,3.440375687676882,4.364105110035958
6.0,3.442269226207026,4.35901075164904
7.0,3.444377868495054,4.354319130983908
8.0,3.446687077210242,4.3500116766135655
9.0,3.449182758943295,4.346068744755009
10.0,3.451851377629813,4.342470514271149
11.0,3.4546800440946956,4.339197519674185
12.0,3.457656566148833,4.336230957108475
13.0,3.4607694661888746,4.333552850121781
14.0,3.4640079760847025,4.331146129113019
15.0,3.467362017420351,4.3289946577375895
16.0,3.470822172899822,4.327083226958196
17.0,3.4743796528838806,4.325397529698803
18.0,3.47802625968596,4.323924124288436
19.0,3.481754351332754,4.322650391898811
20.0,3.4855568058711914,4.321564491280586
21.0,3.4894269868863197,4.320655312899284
22.0,3.493358710617831,4.319912433778532
23.0,3.4973462148786134,4.3193260738582895
24.0,3.50138412986103,4.318887054326014
25.0,3.5054674508360235,4.318586758174482
26.0,3.5095915127032544,4.318417093083795
27.0,3.5137519663185777,4.318370456639994
28.0,3.5179447565095843,4.318439703840154
29.0,3.522166101679242,4.318618116796461
30.0,3.5264124748959875,4.318899376532981
31.0,3.5306805863683235,4.31927753675641
32.0,3.5349673672055895,4.319746999476951
33.0,3.539269954369801,4.320302492357433
34.0,3.543585676730319,4.32093904767071
35.0,3.5479120421364607,4.321651982751116
36.0,3.5522467254309027,4.322436881829699
37.0,3.5565875573309764,4.323289579152832
38.0,3.560932514110919,4.324206143287175
39.0,3.5652797080230774,4.325182862521915
40.0,3.5696273784008015,4.326216231286805
41.0,3.5739738833912242,4.3273029375075325
42.0,3.578317692268397,4.328439850830127
43.0,3.5826573782835207,4.329624011646958
44.0,3.5869916120106264,4.330852620865934
45.0,3.591319155150457,4.332123030366224
46.0,3.5956388547582443,4.333432734090675
47.0,3.599949637863382,4.3347793597272934
48.0,3.6042505064519332,4.336160660935944
49.0,3.608540532785403,4.337574510082691
50.0,3.6128188550307527,4.339018891442004
51.0,3.617084673179405,4.340491894835868
52.0,3.6213372452337427,4.341991709677179
53.0,3.6255758836427616,4.343516619388603
54.0,3.6297999519682507,4.345064996172068
55.0,3.6340088617654787,4.346635296101639
56.0,3.638202069664089,4.3482260545203575
57.0,3.642379074633231,4.349835881718279
58.0,3.646539415420761,4.3514634588727485
59.0,3.6506826681522635,4.353107534233657
60.0,3.6548084440805786,4.354766919536805
61.0,3.6589163874744313,4.3564404866302695
62.0,3.663006173637707,4.358127164299554
63.0,3.667077507049906,4.359825935278766
64.0,3.6711301196205937,4.361535833434949
65.0,3.675163769048953,4.363255941115684
66.0,3.679178237283325,4.36498538664789
67.0,3.6831733290725572,4.366723341979014
68.0,3.687148870604029,4.368469020452151
69.0,3.691104708223116,4.370221674705281
70.0,3.695040707228096,4.371980594687924
71.0,3.6989567507358676,4.37374510578737
72.0,3.702852738614689,4.37551456705869
73.0,3.706728586479038,4.377288369550671
74.0,3.7105842247428087,4.3790659347228935
75.0,3.714419597727109,4.380846712948795
76.0,3.7182346628205005,4.38263018209834
77.0,3.72202938968644,4.384415846196189
78.0,3.72580375951639,4.386203234152004
79.0,3.729557764325999,4.38799189855588
80.0,3.7332914062907716,4.389781414538735
81.0,3.7370046971196245,4.391571378690587
82.0,3.7406976574636106,4.393361408035354
83.0,3.744370316358579,4.395151139058696
84.0,3.748022710698167,4.396940226784933
85.0,3.751654884737253,4.398728343901374
86.0,3.7552668896224444,4.400515179927085
87.0,3.7588587829492477,4.40230044042288
88.0,3.762430628343512,4.404083846241655
89.0,3.76598249506636,4.405865132815407
90.0,3.7695144576408723,4.4076440494779385
91.0,3.7730265954994624,4.409420358820897
92.0,3.776518992650674,4.4111938360811225
93.0,3.7799917373643175,4.412964268558609
94.0,3.783444921874191,4.414731455061604
95.0,3.7868786420967635,4.416495205379802
96.0,3.7902929973658455,4.418255339781786
97.0,3.793688090181116,4.4200116885373495
98.0,3.797064025971263,4.421764091461911
99.0,3.8004209128693947,4.423512397483309
100.0,3.803758861501438,4.4252564642282675
101.0,3.8070779847856113,4.426996157628686
102.0,3.810378397742969,4.428731351546642
103.0,3.8136602173190273,4.4304619274162755
104.0,3.81692356221404,4.43218777390291
105.0,3.8201685527238225,4.433908786577357
106.0,3.82339531058821,4.435624867605661
107.0,3.826603958849173,4.437335925452959
108.0,3.829794621715131,4.439041874600911
109.0,3.832967424434589,4.440742635277621
110.0,3.836122493175186,4.442438133200453
111.0,3.8392599549106654,4.444128299329996
112.0,3.842379937313448,4.445813069635194
113.0,3.845482568653597,4.4474923848691095
114.0,3.8485679777030932,4.44916619035468
115.0,3.8516362936458375,4.4508344357800205
116.0,3.85468764599285,4.452497075002616
117.0,3.8577221645017388,4.454154065862793
118.0,3.8607399791013965,4.455805370004383
119.0,3.8637412198205805,4.457450952704452
120.0,3.8667260167210284,4.4590907827095725
121.0,3.8696944998337437,4.460724832079788
122.0,3.872646799100189,4.462353076039035
123.0,3.87558304431578,4.46397549283241
124.0,3.878503365077352,4.465592063589316
125.0,3.8814078907336316,4.467202772192746
126.0,3.8842967503387165,4.468807605154081
127.0,3.8871700726085314,4.470406551493172
128.0,3.8900279858795974,4.471999602623944
129.0,3.8928706180708543,4.473586752244501
130.0,3.8956980966473878,4.475167996231944
131.0,3.898510548586985,4.4767433325421075
132.0,3.9013081003484116,4.478312761112993
133.0,3.90409087784189,4.479876283772617
134.0,3.9068590064019992,4.481433904150829
135.0,3.9096126107615548,4.482985627594407
136.0,3.912351815027851,4.484531461086484
137.0,3.915076742660785,4.4860714131685295
138.0,3.917787516451788,4.487605493866235
139.0,3.9204842585049975,4.489133714618234
140.0,3.923167090219497,4.490656088207857
141.0,3.9258361322730377,4.492172628697695
142.0,3.928491504606756,4.493683351367068
143.0,3.9311333264118353,4.4951882726518395
144.0,3.933761716116222,4.496687410086957
145.0,3.9363767913734073,4.498180782251315
146.0,3.9389786690521844,4.499668408714882
147.0,3.9415674652262216,4.501150309988003
148.0,3.94414329516625,4.502626507472937
149.0,3.946706273332006,4.5040970234171835
